trade_id,counterparty_id,legal_entity,product,asset_class,notional,mtm,collateral,margining,maturity_years,add_on_factor,counterparty_type,rating,credit_limit
T0000021,CP0071,JPM_EMEA_CH,FX Forward,FX,1551514.4741966387,165370.33571263592,13101.84497032453,Margined,6.70650499237758,0.04,Sovereign,A,141785709.5693913
T0000022,CP0054,JPM_EMEA_UK,Equity Option,Equity,1439372.299087865,-28437.83011005596,20655.609242899343,Margined,2.4838606886844024,0.08,Asset Manager,A,141685664.10636523
T0000023,CP0056,JPM_EMEA_UK,Securities Financing,SFT,1662858.8096117536,-52573.85821722176,27330.801725618847,Margined,2.463669540013428,0.03,Bank,A,25838380.52100277
T0000024,CP0006,JPM_EMEA_CH,Interest Rate Swap,Interest Rate,19935329.7336685,-716087.3955201503,0.0,Unmargined,0.687746491835279,0.005,CCP,BBB,84218806.50178745
T0000025,CP0013,JPM_EMEA_FR,Securities Financing,SFT,11343554.284390116,-83748.6153860109,204907.03475139244,Margined,4.343384849962632,0.03,Sovereign,BBB,95537948.16105135
T0000026,CP0011,JPM_EMEA_FR,Interest Rate Swap,Interest Rate,3493019.4822672373,-210223.05730495404,86450.3411903925,Margined,0.23449023046170164,0.005,Corporate,AA,42177085.909795195
T0000027,CP0039,JPM_EMEA_CH,Equity Option,Equity,4148944.752989301,42774.37378637507,0.0,Unmargined,3.4986624095015975,0.08,Hedge Fund,A,114509299.85729474
T0000028,CP0048,JPM_EMEA_UK,Equity Option,Equity,1767826.3391406739,-117888.61657652377,0.0,Margined,1.1120610021222617,0.08,CCP,A,125072691.36835924
T0000029,CP0010,JPM_EMEA_FR,Interest Rate Swap,Interest Rate,9740783.13925431,55118.04939075194,0.0,Unmargined,4.722612078337803,0.005,Bank,AA,96393794.38310257
T0000030,CP0061,JPM_EMEA_FR,Interest Rate Swap,Interest Rate,2735714.2048465577,-129382.35067268278,51607.10901787098,Margined,6.505925154203899,0.005,CCP,BBB,135803023.8142082
T0000031,CP0044,JPM_EMEA_CH,FX Forward,FX,3083970.2887755027,-41156.4138883163,54306.53871674974,Margined,0.6670396845397997,0.04,Asset Manager,AA,24863632.30290337
T0000032,CP0048,JPM_EMEA_DE,Securities Financing,SFT,7352821.614229885,155577.71996954508,0.0,Unmargined,5.4552963416270135,0.03,CCP,A,125072691.36835924
T0000033,CP0074,JPM_EMEA_FR,Equity Option,Equity,3314475.6064879424,267283.6844873003,0.0,Margined,5.822448314285427,0.08,Bank,A,128044647.3762378
T0000034,CP0047,JPM_EMEA_CH,Securities Financing,SFT,3162390.9385406626,-119317.06775311561,0.0,Unmargined,1.274633834964006,0.03,Asset Manager,BBB,127872666.6072137
T0000035,CP0001,JPM_EMEA_DE,Commodity Future,Commodity,4042525.282601069,-21268.173140280374,59359.23258088946,Margined,6.4623639963426935,0.15,Bank,A,95932735.95865563
T0000036,CP0062,JPM_EMEA_UK,FX Forward,FX,8860912.718231242,-224460.6856187077,0.0,Margined,4.365378983752386,0.04,Sovereign,BBB,136148063.1607222
T0000037,CP0071,JPM_EMEA_DE,Commodity Future,Commodity,20755005.294574615,-631895.7102619925,369194.823891966,Margined,3.767811743445222,0.15,Sovereign,A,141785709.5693913
T0000038,CP0007,JPM_EMEA_FR,Interest Rate Swap,Interest Rate,7183455.921441742,-179759.27902949258,95941.23601835655,Margined,4.716316908237587,0.005,Bank,A,62881957.60326209
T0000039,CP0044,JPM_EMEA_DE,Interest Rate Swap,Interest Rate,8931716.420345843,257611.48251660418,134420.85293236215,Margined,2.0523584861760136,0.005,Asset Manager,AA,24863632.30290337
T0000040,CP0038,JPM_EMEA_FR,Commodity Future,Commodity,3275400.9825714617,-55950.253003748236,0.0,Unmargined,0.22660552378197946,0.15,Sovereign,BBB,105724942.50994723
T0000041,CP0013,JPM_EMEA_DE,Commodity Future,Commodity,1970912.2328917035,155161.9269417236,30435.2266919171,Margined,3.122256004312494,0.15,Sovereign,BBB,95537948.16105135
T0000042,CP0023,JPM_EMEA_UK,Interest Rate Swap,Interest Rate,7692767.435495408,112001.10857560174,0.0,Unmargined,5.216257505749879,0.005,Hedge Fund,A,141917439.14674777
T0000043,CP0069,JPM_EMEA_CH,FX Forward,FX,4747106.078365349,-167811.97121056402,51533.585943165235,Margined,6.434620228725074,0.04,Bank,AA,117082649.47537337
T0000044,CP0032,JPM_EMEA_CH,Equity Option,Equity,964317.880058161,-12376.712734836898,0.0,Margined,3.039221530221355,0.08,Hedge Fund,A,136500900.33916968
T0000045,CP0043,JPM_EMEA_FR,Securities Financing,SFT,2881251.4692404233,-80861.29863555558,49535.901606791165,Margined,1.8823514566321244,0.03,Sovereign,BBB,49927818.8163345
T0000046,CP0063,JPM_EMEA_DE,Equity Option,Equity,3681783.7066278313,103098.79057110108,85357.59694205149,Margined,0.962503744320528,0.08,Asset Manager,AA,87451586.85023838
T0000047,CP0036,JPM_EMEA_DE,FX Forward,FX,2400882.7784839477,-137708.1249312074,4965.948244151554,Margined,6.551685626676136,0.04,Bank,AA,107391212.09517552
T0000048,CP0072,JPM_EMEA_DE,FX Forward,FX,17602306.694822274,-826134.3111446752,0.0,Unmargined,1.6550682773564098,0.04,Hedge Fund,AA,51326174.75073902
T0000049,CP0040,JPM_EMEA_DE,FX Forward,FX,6463257.179141104,-133816.01445794557,0.0,Unmargined,6.381945064853433,0.04,Corporate,BBB,119924173.94929542
T0000050,CP0079,JPM_EMEA_UK,Equity Option,Equity,15791459.864681931,377465.4405744985,132154.9033027289,Margined,1.3271056147535085,0.08,Corporate,A,45536506.54289452
T0000051,CP0012,JPM_EMEA_DE,Securities Financing,SFT,5205520.113254745,224655.20215058778,79641.25772046694,Margined,0.17602253719709277,0.03,CCP,AAA,140265615.38898364
T0000052,CP0072,JPM_EMEA_DE,FX Forward,FX,4339166.146652984,209664.06783796838,36689.58947784696,Margined,1.6083312617025645,0.04,Hedge Fund,AA,51326174.75073902
T0000053,CP0010,JPM_EMEA_DE,Interest Rate Swap,Interest Rate,1567836.3431809437,29072.472717618464,26998.52027640868,Margined,3.4748872813180727,0.005,Bank,AA,96393794.38310257
T0000054,CP0066,JPM_EMEA_DE,Interest Rate Swap,Interest Rate,4048003.895518945,-11743.800812625854,83077.33842202435,Margined,2.4734997156653185,0.005,Hedge Fund,BBB,106015964.21180893
T0000055,CP0053,JPM_EMEA_FR,Commodity Future,Commodity,4052558.0004743994,112709.35175767889,84350.24247846661,Margined,6.35865911926138,0.15,Asset Manager,A,53275461.77378836
T0000056,CP0045,JPM_EMEA_CH,Commodity Future,Commodity,1019365.6041504865,-40833.25971686082,3113.704467156769,Margined,3.838337530260722,0.15,Bank,AAA,92130821.02089284
T0000057,CP0071,JPM_EMEA_DE,Interest Rate Swap,Interest Rate,2332094.734436613,-150567.03880065793,53842.07756290441,Margined,0.8684979278390018,0.005,Sovereign,A,141785709.5693913
T0000058,CP0052,JPM_EMEA_UK,Interest Rate Swap,Interest Rate,2895077.157348136,44243.481701999175,0.0,Unmargined,4.396057307048879,0.005,Hedge Fund,BBB,86957426.80012289
T0000059,CP0056,JPM_EMEA_CH,Equity Option,Equity,6048279.82504579,-212891.8568323881,0.0,Unmargined,2.7531806166012913,0.08,Bank,A,25838380.52100277
T0000060,CP0061,JPM_EMEA_UK,Interest Rate Swap,Interest Rate,6344856.426578909,-14502.664374765653,0.0,Unmargined,4.768642350547028,0.005,CCP,BBB,135803023.8142082
T0000061,CP0068,JPM_EMEA_CH,Commodity Future,Commodity,2236642.5484603895,9364.700577626916,13386.887657160978,Margined,5.513928041127864,0.15,Asset Manager,AA,32280666.847996987
T0000062,CP0019,JPM_EMEA_FR,FX Forward,FX,6392746.342793198,55515.78915793806,26376.921895432533,Margined,6.899582542518059,0.04,CCP,AA,121755579.54253721
T0000063,CP0068,JPM_EMEA_FR,Interest Rate Swap,Interest Rate,3334142.189606189,109435.56167782258,10621.779847365255,Margined,4.057690108524964,0.005,Asset Manager,AA,32280666.847996987
T0000064,CP0048,JPM_EMEA_DE,Securities Financing,SFT,226881.89942537344,6607.397971452365,0.0,Unmargined,2.5989171590606803,0.03,CCP,A,125072691.36835924
T0000065,CP0003,JPM_EMEA_FR,Interest Rate Swap,Interest Rate,2463522.7287659417,16813.548415247154,46271.8912979158,Margined,3.063522442764924,0.005,Corporate,BBB,30977761.748185582
T0000066,CP0074,JPM_EMEA_FR,Interest Rate Swap,Interest Rate,11766811.703389443,-182038.87013565292,264193.9576772505,Margined,2.8482211205649794,0.005,Bank,A,128044647.3762378
T0000067,CP0062,JPM_EMEA_CH,Interest Rate Swap,Interest Rate,744150.9346970255,2806.694065468578,6039.188960445617,Margined,3.181234457804963,0.005,Sovereign,BBB,136148063.1607222
T0000068,CP0072,JPM_EMEA_UK,Interest Rate Swap,Interest Rate,4477144.977799689,-93426.21654547949,52340.03588832997,Margined,0.2589077467350799,0.005,Hedge Fund,AA,51326174.75073902
T0000069,CP0062,JPM_EMEA_UK,Interest Rate Swap,Interest Rate,19522264.34045369,-134215.80688301908,217995.35641753903,Margined,1.7689312591168287,0.005,Sovereign,BBB,136148063.1607222
T0000070,CP0028,JPM_EMEA_DE,Interest Rate Swap,Interest Rate,1869519.4292057096,171315.4129544765,12932.882989560236,Margined,6.914937591051453,0.005,Sovereign,A,87687412.32129991
T0000071,CP0028,JPM_EMEA_UK,Interest Rate Swap,Interest Rate,4008605.565424751,25561.43271236909,0.0,Unmargined,6.499700963532674,0.005,Sovereign,A,87687412.32129991
T0000072,CP0023,JPM_EMEA_CH,Interest Rate Swap,Interest Rate,1085757.7212942536,17109.995130297335,0.0,Unmargined,0.38560832357290503,0.005,Hedge Fund,A,141917439.14674777
T0000073,CP0033,JPM_EMEA_UK,Equity Option,Equity,20359049.43620977,-502702.03934644745,267407.67350219964,Margined,6.85808709978975,0.08,Bank,BBB,38232381.569819406
T0000074,CP0003,JPM_EMEA_UK,Equity Option,Equity,3680180.25796282,131391.89170862603,54711.191924750165,Margined,5.554081430322333,0.08,Corporate,BBB,30977761.748185582
T0000075,CP0060,JPM_EMEA_DE,FX Forward,FX,4190923.8710547937,111518.53456256817,0.0,Unmargined,0.06909252665604823,0.04,Sovereign,BB,117319042.5294034
T0000076,CP0061,JPM_EMEA_DE,FX Forward,FX,15496199.907760069,416186.7005332953,261010.18353314363,Margined,6.398571708736272,0.04,CCP,BBB,135803023.8142082
T0000077,CP0079,JPM_EMEA_DE,FX Forward,FX,7750619.345847277,58293.90890192217,0.0,Unmargined,6.7245661576312035,0.04,Corporate,A,45536506.54289452
T0000078,CP0045,JPM_EMEA_FR,Securities Financing,SFT,1666400.0294261673,60318.104210629914,0.0,Unmargined,4.419868225571608,0.03,Bank,AAA,92130821.02089284
T0000079,CP0080,JPM_EMEA_FR,Securities Financing,SFT,2093875.0434078316,93196.24637066273,29404.138446840145,Margined,5.528886562355182,0.03,Sovereign,A,60342077.47701232
T0000080,CP0017,JPM_EMEA_CH,Interest Rate Swap,Interest Rate,6561542.192476826,65014.79263842479,55924.48630254795,Margined,2.361095005074911,0.005,Corporate,A,144612697.7213879
T0000081,CP0038,JPM_EMEA_DE,Interest Rate Swap,Interest Rate,2142928.4026349457,-8596.212778817464,29730.64049994269,Margined,4.02763276776496,0.005,Sovereign,BBB,105724942.50994723
T0000082,CP0063,JPM_EMEA_CH,Interest Rate Swap,Interest Rate,481451.8989846727,15074.251568857264,7104.217470429874,Margined,5.134272146509917,0.005,Asset Manager,AA,87451586.85023838
T0000083,CP0064,JPM_EMEA_UK,Interest Rate Swap,Interest Rate,3792606.685436733,-120014.70887458569,0.0,Unmargined,3.9507632044918535,0.005,CCP,BB,61070776.73800309
T0000084,CP0062,JPM_EMEA_UK,Equity Option,Equity,910357.1353760648,-22876.009253116757,3305.283695670256,Margined,2.167005261698051,0.08,Sovereign,BBB,136148063.1607222
T0000085,CP0038,JPM_EMEA_DE,FX Forward,FX,20137346.274547048,-37566.46114288719,455101.5051976958,Margined,4.5619418855666805,0.04,Sovereign,BBB,105724942.50994723
T0000086,CP0006,JPM_EMEA_UK,Interest Rate Swap,Interest Rate,4773510.5514853895,-290933.5219032604,58166.805388100125,Margined,5.877011532836586,0.005,CCP,BBB,84218806.50178745
T0000087,CP0070,JPM_EMEA_UK,FX Forward,FX,1617884.2940647064,46863.3688229157,0.0,Unmargined,5.86025709322577,0.04,Asset Manager,BBB,54119867.06997241
T0000088,CP0031,JPM_EMEA_DE,FX Forward,FX,1989059.564650636,-67035.25772295878,15327.564116411353,Margined,0.9685882201657745,0.04,Asset Manager,AA,127417950.14526652
T0000089,CP0052,JPM_EMEA_FR,Interest Rate Swap,Interest Rate,604651.3749737418,-9978.0693053584,2411.9893641951867,Margined,3.1456745334637644,0.005,Hedge Fund,BBB,86957426.80012289
T0000090,CP0011,JPM_EMEA_DE,Commodity Future,Commodity,1332201.0169251936,-9944.59529888948,0.0,Margined,0.31923759997580936,0.15,Corporate,AA,42177085.909795195
T0000091,CP0075,JPM_EMEA_DE,Interest Rate Swap,Interest Rate,11052068.042946255,15197.021881608323,192518.17307546362,Margined,4.44772817883642,0.005,Sovereign,AA,39926961.16118422
T0000092,CP0021,JPM_EMEA_UK,Securities Financing,SFT,37265967.34780829,-448230.0122351945,1037748.7915164387,Margined,1.7330273931469709,0.03,Corporate,BBB,83265583.00896084
T0000093,CP0080,JPM_EMEA_UK,Interest Rate Swap,Interest Rate,8270466.154029795,-19501.648805805,0.0,Margined,6.515966124386214,0.005,Sovereign,A,60342077.47701232
T0000094,CP0058,JPM_EMEA_CH,Commodity Future,Commodity,3648265.4027001015,-7613.8099903203665,16039.878564808518,Margined,4.346878802073646,0.15,Bank,AA,149008823.32725883
T0000095,CP0027,JPM_EMEA_UK,Securities Financing,SFT,2596943.003709045,-40631.9871247892,0.0,Unmargined,2.8342924224595007,0.03,Asset Manager,A,63103969.654531784
T0000096,CP0030,JPM_EMEA_FR,Securities Financing,SFT,1536947.8704351701,-41592.58512850619,0.0,Unmargined,5.133669165472974,0.03,Asset Manager,A,22809570.384442955
T0000097,CP0079,JPM_EMEA_FR,Commodity Future,Commodity,31376533.114322048,1187651.5839936775,0.0,Unmargined,1.4913722812936838,0.15,Corporate,A,45536506.54289452
T0000098,CP0048,JPM_EMEA_UK,Commodity Future,Commodity,3311978.216161686,-243941.10453558143,0.0,Unmargined,0.6854510507172631,0.15,CCP,A,125072691.36835924
T0000099,CP0056,JPM_EMEA_UK,Equity Option,Equity,33179233.76386645,-238891.4972341305,244032.60094329063,Margined,0.6573016388829429,0.08,Bank,A,25838380.52100277
T0000100,CP0050,JPM_EMEA_DE,Commodity Future,Commodity,16116021.005621813,-264487.78084438475,164274.84247096456,Margined,4.100495860942581,0.15,Sovereign,A,143876921.35906684
T0000101,CP0020,JPM_EMEA_FR,Interest Rate Swap,Interest Rate,701522.6652792331,10282.710198761612,0.0,Margined,6.227636392435377,0.005,Asset Manager,AA,30754899.989917014
T0000102,CP0011,JPM_EMEA_UK,FX Forward,FX,2055135.8757743128,-104606.92550022286,5861.504892263954,Margined,1.598168828234227,0.04,Corporate,AA,42177085.909795195
T0000103,CP0001,JPM_EMEA_CH,FX Forward,FX,2048789.7171864773,-35838.42737791508,0.0,Unmargined,5.332336281039907,0.04,Bank,A,95932735.95865563
T0000104,CP0033,JPM_EMEA_DE,Securities Financing,SFT,3693032.7243487635,-13230.62465479311,79530.19372177449,Margined,0.31148350350157983,0.03,Bank,BBB,38232381.569819406
T0000105,CP0055,JPM_EMEA_DE,FX Forward,FX,3765874.510577053,141041.7026807346,87554.05336301136,Margined,2.505713508723718,0.04,Asset Manager,A,41399016.28566236
T0000106,CP0025,JPM_EMEA_CH,FX Forward,FX,80040556.02400336,930589.4305792287,1242786.0932771564,Margined,4.593329741428583,0.04,Sovereign,A,81553622.137404
T0000107,CP0018,JPM_EMEA_UK,Equity Option,Equity,1362152.9324714448,-56423.217794314136,0.0,Unmargined,5.792441409921914,0.08,Bank,A,82699446.80257703
T0000108,CP0032,JPM_EMEA_CH,Interest Rate Swap,Interest Rate,5029216.953700114,-85806.91624134153,34801.91862601545,Margined,6.60518287398055,0.005,Hedge Fund,A,136500900.33916968
T0000109,CP0019,JPM_EMEA_FR,Interest Rate Swap,Interest Rate,7409790.035287326,229790.90692943157,167440.8438816627,Margined,4.446364036465745,0.005,CCP,AA,121755579.54253721
T0000110,CP0035,JPM_EMEA_DE,FX Forward,FX,3993716.9219305115,-167844.42155130286,99780.75648909854,Margined,3.265585916307282,0.04,CCP,AAA,34114846.34760766
T0000111,CP0045,JPM_EMEA_UK,FX Forward,FX,4465918.654709175,-12292.661682354397,102274.81565885732,Margined,0.47142292452466156,0.04,Bank,AAA,92130821.02089284
T0000112,CP0022,JPM_EMEA_UK,Interest Rate Swap,Interest Rate,1407036.1444384877,-449.1482225336771,0.0,Unmargined,1.9657511455464614,0.005,Asset Manager,A,83791909.26608771
T0000113,CP0003,JPM_EMEA_CH,FX Forward,FX,4449450.278929775,-60078.28902497897,6885.048515372408,Margined,6.465627050462096,0.04,Corporate,BBB,30977761.748185582
T0000114,CP0009,JPM_EMEA_DE,FX Forward,FX,6670490.245451738,629369.5089961755,0.0,Unmargined,4.101130974407471,0.04,Hedge Fund,BBB,33442385.803931713
T0000115,CP0034,JPM_EMEA_CH,FX Forward,FX,5550538.473981659,-80180.86457801776,67263.95708275607,Margined,2.4316071538019783,0.04,Corporate,AA,92024698.66007642
T0000116,CP0015,JPM_EMEA_CH,FX Forward,FX,7074489.355560461,111365.05913573036,173498.44550814084,Margined,1.7792772697012649,0.04,Sovereign,BBB,96819013.89258417
T0000117,CP0064,JPM_EMEA_DE,Equity Option,Equity,16426604.757945033,-440570.3969594446,0.0,Unmargined,0.8399163424292098,0.08,CCP,BB,61070776.73800309
T0000118,CP0014,JPM_EMEA_DE,Interest Rate Swap,Interest Rate,10208910.353606226,188570.6178866165,123869.29752156482,Margined,5.2736546006622875,0.005,Sovereign,BBB,65093074.58952882
T0000119,CP0003,JPM_EMEA_DE,Securities Financing,SFT,4295590.25593818,130919.1350610149,54072.723409048354,Margined,2.9160141489412457,0.03,Corporate,BBB,30977761.748185582
T0000120,CP0050,JPM_EMEA_FR,Securities Financing,SFT,1239286.7459406927,-25502.9613240229,18835.758935066337,Margined,6.559018089360484,0.03,Sovereign,A,143876921.35906684
T0000121,CP0050,JPM_EMEA_FR,FX Forward,FX,2195234.965115287,-4202.916809804964,0.0,Unmargined,3.208022392809803,0.04,Sovereign,A,143876921.35906684
T0000122,CP0054,JPM_EMEA_DE,FX Forward,FX,3211259.440319842,-100624.14644763051,19921.691884994878,Margined,5.737717116995364,0.04,Asset Manager,A,141685664.10636523
T0000123,CP0013,JPM_EMEA_FR,FX Forward,FX,5148164.237860754,-206205.25726033704,18219.542911580807,Margined,0.9551514815444838,0.04,Sovereign,BBB,95537948.16105135
T0000124,CP0055,JPM_EMEA_FR,Commodity Future,Commodity,2479263.647159425,89967.12288685434,0.0,Unmargined,1.0988080095731656,0.15,Asset Manager,A,41399016.28566236
T0000125,CP0070,JPM_EMEA_UK,Equity Option,Equity,1569192.5095707886,-30426.694710151325,0.0,Margined,1.9488228074577914,0.08,Asset Manager,BBB,54119867.06997241
T0000126,CP0049,JPM_EMEA_FR,Commodity Future,Commodity,1219079.0199700787,-102983.44532088614,30601.296779847667,Margined,1.3790808830519827,0.15,Sovereign,AA,61228056.066952996
T0000127,CP0032,JPM_EMEA_CH,FX Forward,FX,767295.4129890957,47409.2388409366,0.0,Margined,6.83834708143532,0.04,Hedge Fund,A,136500900.33916968
T0000128,CP0039,JPM_EMEA_CH,Equity Option,Equity,3162439.2909926553,-88780.22176711218,23160.664726582443,Margined,5.666585167060078,0.08,Hedge Fund,A,114509299.85729474
T0000129,CP0065,JPM_EMEA_DE,Interest Rate Swap,Interest Rate,920009.6858005315,-7933.295529892123,0.0,Unmargined,2.4714650915877114,0.005,Asset Manager,BBB,120361616.17442845
T0000130,CP0012,JPM_EMEA_UK,Commodity Future,Commodity,1470744.4143963598,84467.39271258446,17652.95562437403,Margined,3.662770942346009,0.15,CCP,AAA,140265615.38898364
T0000131,CP0058,JPM_EMEA_CH,Interest Rate Swap,Interest Rate,2697680.9277307144,-13383.123045131237,0.0,Unmargined,3.756074411539185,0.005,Bank,AA,149008823.32725883
T0000132,CP0022,JPM_EMEA_CH,Equity Option,Equity,1051667.55469794,-6012.153176060636,0.0,Unmargined,4.27010293222705,0.08,Asset Manager,A,83791909.26608771
T0000133,CP0071,JPM_EMEA_CH,Securities Financing,SFT,5847689.053563678,-251369.0923975045,73306.83309146743,Margined,0.770136397438533,0.03,Sovereign,A,141785709.5693913
T0000134,CP0012,JPM_EMEA_DE,Interest Rate Swap,Interest Rate,8385612.374302049,-479817.8595533023,86133.77088357798,Margined,2.475412146875597,0.005,CCP,AAA,140265615.38898364
T0000135,CP0042,JPM_EMEA_DE,Equity Option,Equity,2309121.9437546115,-13447.216115139832,16183.762102299674,Margined,0.6472121062704284,0.08,Sovereign,A,139081539.86788905
T0000136,CP0033,JPM_EMEA_FR,Interest Rate Swap,Interest Rate,2583815.1668622117,32810.1688929198,0.0,Unmargined,6.437503269758414,0.005,Bank,BBB,38232381.569819406
T0000137,CP0039,JPM_EMEA_DE,Equity Option,Equity,6846407.9731752435,73211.3056773649,50284.31356743416,Margined,2.854004421590147,0.08,Hedge Fund,A,114509299.85729474
T0000138,CP0031,JPM_EMEA_CH,Interest Rate Swap,Interest Rate,1958735.797541343,-32993.21571974673,61653.6798805658,Margined,5.102768457501159,0.005,Asset Manager,AA,127417950.14526652
T0000139,CP0003,JPM_EMEA_DE,Securities Financing,SFT,1828617.925441137,1296.532125553298,0.0,Unmargined,6.4497435460543935,0.03,Corporate,BBB,30977761.748185582
T0000140,CP0069,JPM_EMEA_DE,Interest Rate Swap,Interest Rate,13234047.162305702,-850980.3303830416,119238.02871501385,Margined,2.20058941622412,0.005,Bank,AA,117082649.47537337
T0000141,CP0043,JPM_EMEA_CH,Securities Financing,SFT,9684068.376610868,155970.1112576713,0.0,Unmargined,0.6605519081042139,0.03,Sovereign,BBB,49927818.8163345
T0000142,CP0049,JPM_EMEA_DE,Commodity Future,Commodity,7299781.11504071,41237.95681283509,191368.19101973588,Margined,2.38670290209884,0.15,Sovereign,AA,61228056.066952996
T0000143,CP0042,JPM_EMEA_UK,Equity Option,Equity,10093977.738675678,697273.1195351775,0.0,Margined,4.713363419003002,0.08,Sovereign,A,139081539.86788905
T0000144,CP0043,JPM_EMEA_CH,Commodity Future,Commodity,553781.8932499941,144.97324661114294,8237.760055759052,Margined,3.523592392193368,0.15,Sovereign,BBB,49927818.8163345
T0000145,CP0049,JPM_EMEA_DE,Commodity Future,Commodity,15488997.108937768,-511035.10045262007,0.0,Unmargined,0.570927296435276,0.15,Sovereign,AA,61228056.066952996
T0000146,CP0034,JPM_EMEA_FR,Securities Financing,SFT,5920118.571729116,-10510.043884743345,3627.8437048106425,Margined,0.5378638454532668,0.03,Corporate,AA,92024698.66007642
T0000147,CP0011,JPM_EMEA_FR,Interest Rate Swap,Interest Rate,10990988.888531752,-126099.53858729482,59872.196115157814,Margined,4.911953155848091,0.005,Corporate,AA,42177085.909795195
T0000148,CP0003,JPM_EMEA_UK,Equity Option,Equity,5891178.957729427,89632.96472408506,0.0,Unmargined,5.168990106216853,0.08,Corporate,BBB,30977761.748185582
T0000149,CP0044,JPM_EMEA_UK,Interest Rate Swap,Interest Rate,4200565.612227003,3953.6654403646016,0.0,Unmargined,0.8110790775596808,0.005,Asset Manager,AA,24863632.30290337
T0000150,CP0015,JPM_EMEA_CH,Equity Option,Equity,3037349.1617722614,-133941.43197119908,42755.28017971084,Margined,5.573289351715363,0.08,Sovereign,BBB,96819013.89258417
